"estacion","nombreestacion","anio","mes","temperatura","mes_num","precipitacion","id_clima"
"M0005","Portoviejo-utm",2019,"Ago",16.3,8,87.69999999999999,"Row130"
"M0006","Pichilingue",2019,"Ago",23.5,8,0.8,"Row131"
"M0007","Nuevo Rocafuerte",2019,"Ago",16.3,8,87.69999999999999,"Row132"
"M0008","Puyo",2019,"Ago",20.9,8,233.5,"Row133"
"M0024","Quito Inamhi-iaquito",2019,"Ago",16.3,8,87.69999999999999,"Row134"
"M0025","La Concordia",2019,"Ago",23.9,8,6.4,"Row135"
"M0031","Caar",2019,"Ago",16.3,8,87.69999999999999,"Row136"
"M0033","La Argelia-loja",2019,"Ago",15.5,8,78.3,"Row137"
"M0037","Milagro(ingenio Valdez)",2019,"Ago",24.2,8,0,"Row138"
"M0055","Quito Aeropuerto- Parque Bicentenario",2019,"Ago",16.4,8,0,"Row139"
"M0103","San Gabriel",2019,"Ago",11.2,8,39.3,"Row140"
"M0139","Gualaceo",2019,"Ago",16.3,8,87.69999999999999,"Row141"
"M1040","Macas San Isidro-domono",2019,"Ago",16.3,8,87.69999999999999,"Row142"
"M1094","Tomalon-tabacundo",2019,"Ago",16.5,8,0.3,"Row143"
"M0001","Inguincho",2019,"Sep",11.9,9,56.4,"Row144"
"M0002","La Tola",2019,"Sep",16.3,9,56.1,"Row145"
"M0003","Izobamba",2019,"Sep",13,9,84,"Row146"
"M0004","Rumipamba-salcedo",2019,"Sep",13.9,9,7.6,"Row147"
"M0005","Portoviejo-utm",2019,"Sep",16.3,9,87.69999999999999,"Row148"
"M0006","Pichilingue",2019,"Sep",24.3,9,23.4,"Row149"
"M0007","Nuevo Rocafuerte",2019,"Sep",16.3,9,87.69999999999999,"Row150"
"M0008","Puyo",2019,"Sep",22.1,9,199.9,"Row151"
"M0024","Quito Inamhi-iaquito",2019,"Sep",16.3,9,87.69999999999999,"Row152"
"M0025","La Concordia",2019,"Sep",23.8,9,47.9,"Row153"
"M0031","Caar",2019,"Sep",16.3,9,87.69999999999999,"Row154"
"M0033","La Argelia-loja",2019,"Sep",16.5,9,16.9,"Row155"
"M0037","Milagro(ingenio Valdez)",2019,"Sep",24.8,9,1.4,"Row156"
"M0055","Quito Aeropuerto- Parque Bicentenario",2019,"Sep",16.3,9,87.69999999999999,"Row157"
"M0103","San Gabriel",2019,"Sep",12.4,9,18.1,"Row158"
"M0139","Gualaceo",2019,"Sep",16.3,9,87.69999999999999,"Row159"
"M1040","Macas San Isidro-domono",2019,"Sep",16.3,9,87.69999999999999,"Row160"
"M1094","Tomalon-tabacundo",2019,"Sep",16.5,9,36.9,"Row161"
"M0001","Inguincho",2019,"Oct",11.2,10,106.5,"Row162"
"M0002","La Tola",2019,"Oct",15.7,10,82.3,"Row163"
"M0003","Izobamba",2019,"Oct",11.9,10,168,"Row164"
"M0004","Rumipamba-salcedo",2019,"Oct",14,10,65.2,"Row165"
"M0005","Portoviejo-utm",2019,"Oct",16.3,10,87.69999999999999,"Row166"
"M0006","Pichilingue",2019,"Oct",24.5,10,5,"Row167"
"M0007","Nuevo Rocafuerte",2019,"Oct",16.3,10,87.69999999999999,"Row168"
"M0008","Puyo",2019,"Oct",21.6,10,372.6,"Row169"
"M0024","Quito Inamhi-iaquito",2019,"Oct",16.3,10,87.69999999999999,"Row170"
"M0025","La Concordia",2019,"Oct",23.8,10,141.3,"Row171"
"M0031","Caar",2019,"Oct",16.3,10,87.69999999999999,"Row172"
"M0033","La Argelia-loja",2019,"Oct",16.5,10,86.4,"Row173"
"M0037","Milagro(ingenio Valdez)",2019,"Oct",25.1,10,0.9,"Row174"
"M0055","Quito Aeropuerto- Parque Bicentenario",2019,"Oct",16.3,10,87.69999999999999,"Row175"
"M0103","San Gabriel",2019,"Oct",12.1,10,104.4,"Row176"
"M0139","Gualaceo",2019,"Oct",16.3,10,87.69999999999999,"Row177"
"M1040","Macas San Isidro-domono",2019,"Oct",16.3,10,87.69999999999999,"Row178"
"M1094","Tomalon-tabacundo",2019,"Oct",15.1,10,45.6,"Row179"
"M0001","Inguincho",2019,"Nov",11.3,11,204.9,"Row180"
"M0002","La Tola",2019,"Nov",16.2,11,121.8,"Row181"
"M0003","Izobamba",2019,"Nov",12.5,11,194.8,"Row182"
"M0004","Rumipamba-salcedo",2019,"Nov",15.1,11,72,"Row183"
"M0005","Portoviejo-utm",2019,"Nov",16.3,11,87.69999999999999,"Row184"
"M0006","Pichilingue",2019,"Nov",25.2,11,99.5,"Row185"
"M0007","Nuevo Rocafuerte",2019,"Nov",16.3,11,87.69999999999999,"Row186"
"M0008","Puyo",2019,"Nov",16.3,11,87.69999999999999,"Row187"
"M0024","Quito Inamhi-iaquito",2019,"Nov",16.3,11,87.69999999999999,"Row188"
"M0025","La Concordia",2019,"Nov",24,11,69.7,"Row189"
"M0031","Caar",2019,"Nov",16.3,11,87.69999999999999,"Row190"
"M0033","La Argelia-loja",2019,"Nov",17.2,11,112.9,"Row191"
"M0037","Milagro(ingenio Valdez)",2019,"Nov",25.6,11,2.2,"Row192"
"M0055","Quito Aeropuerto- Parque Bicentenario",2019,"Nov",16.3,11,87.69999999999999,"Row193"
"M0103","San Gabriel",2019,"Nov",13.2,11,162.4,"Row194"
"M0139","Gualaceo",2019,"Nov",16.3,11,87.69999999999999,"Row195"
"M1040","Macas San Isidro-domono",2019,"Nov",16.3,11,87.69999999999999,"Row196"
"M1094","Tomalon-tabacundo",2019,"Nov",15.6,11,86.8,"Row197"
"M0001","Inguincho",2019,"Dic",11.5,12,203.3,"Row198"
"M0002","La Tola",2019,"Dic",16.3,12,103.3,"Row199"
"M0003","Izobamba",2019,"Dic",12.8,12,132.3,"Row200"
"M0004","Rumipamba-salcedo",2019,"Dic",15.4,12,25.2,"Row201"
"M0005","Portoviejo-utm",2019,"Dic",16.3,12,87.69999999999999,"Row202"
"M0006","Pichilingue",2019,"Dic",16.3,12,87.69999999999999,"Row203"
"M0007","Nuevo Rocafuerte",2019,"Dic",16.3,12,87.69999999999999,"Row204"
"M0008","Puyo",2019,"Dic",16.3,12,87.69999999999999,"Row205"
"M0024","Quito Inamhi-iaquito",2019,"Dic",16.3,12,87.69999999999999,"Row206"
"M0025","La Concordia",2019,"Dic",24.4,12,233.3,"Row207"
"M0031","Caar",2019,"Dic",16.3,12,87.69999999999999,"Row208"
"M0033","La Argelia-loja",2019,"Dic",17.2,12,128.6,"Row209"
"M0037","Milagro(ingenio Valdez)",2019,"Dic",27,12,14.4,"Row210"
"M0055","Quito Aeropuerto- Parque Bicentenario",2019,"Dic",16.3,12,87.69999999999999,"Row211"
"M0103","San Gabriel",2019,"Dic",13.1,12,124.7,"Row212"
"M0139","Gualaceo",2019,"Dic",16.3,12,87.69999999999999,"Row213"
"M1040","Macas San Isidro-domono",2019,"Dic",16.3,12,87.69999999999999,"Row214"
"M1094","Tomalon-tabacundo",2019,"Dic",16.3,12,87.69999999999999,"Row215"
